time,1_x,1_y,1_z,control_pressure_0,control_pressure_1,control_pressure_2
1697540350.064643,0.033771,0.352697,0.202274,2.0,2.0,2.0
1697540350.074161,0.033767,0.352697,0.202271,2.0,2.0,2.0
1697540350.085008,0.033763,0.352697,0.202268,2.0,2.0,2.0
1697540350.094096,0.033757,0.352697,0.202264,2.0,2.0,2.0
1697540350.104442,0.03375,0.352697,0.202259,2.0,2.0,2.0
1697540350.11495,0.033741,0.352698,0.202252,2.0,2.0,2.0
1697540350.124815,0.03373,0.352699,0.202243,2.0,2.0,2.0
1697540350.134106,0.033717,0.3527,0.202233,2.0,2.0,2.0
1697540350.144405,0.033702,0.352701,0.20222,2.0,2.0,2.0
1697540350.154582,0.033685,0.352702,0.202206,2.0,2.0,2.0
1697540350.164179,0.033666,0.352704,0.202189,2.0,2.0,2.0
1697540350.174236,0.033645,0.352706,0.20217,2.0,2.0,2.0
1697540350.184731,0.033621,0.352708,0.202148,2.0,2.0,2.0
1697540350.194719,0.033597,0.352711,0.202123,2.0,2.0,2.0
1697540350.204441,0.03357,0.352713,0.202096,2.0,2.0,2.0
1697540350.214652,0.033542,0.352716,0.202066,2.0,2.0,2.0
1697540350.224778,0.033514,0.352719,0.202033,2.0,2.0,2.0
1697540350.234313,0.033484,0.352722,0.201997,2.0,2.0,2.0
1697540350.244781,0.033454,0.352725,0.201959,2.0,2.0,2.0
1697540350.254232,0.033423,0.352728,0.201918,2.0,2.0,2.0
1697540350.264545,0.033391,0.352732,0.201874,2.0,2.0,2.0
1697540350.274754,0.03336,0.352737,0.201827,2.0,2.0,2.0
1697540350.284443,0.033329,0.352741,0.201778,2.0,2.0,2.0
1697540350.294407,0.033298,0.352747,0.201726,2.0,2.0,2.0
1697540350.304087,0.033268,0.352752,0.201671,2.0,2.0,2.0
1697540350.314326,0.033238,0.352758,0.201614,2.0,2.0,2.0
1697540350.324335,0.033208,0.352765,0.201555,2.0,2.0,2.0
1697540350.334661,0.03318,0.352773,0.201494,2.0,2.0,2.0
1697540350.344754,0.033153,0.35278,0.20143,2.0,2.0,2.0
