time,1_x,1_y,1_z,control_pressure_0,control_pressure_1,control_pressure_2
1697541436.921721,0.030819,0.353056,0.201571,2.0,2.0,2.0
1697541436.932604,0.030746,0.353068,0.201572,2.0,2.0,2.0
1697541436.942035,0.030676,0.353081,0.201576,2.0,2.0,2.0
1697541436.951679,0.030607,0.353094,0.20158,2.0,2.0,2.0
1697541436.961817,0.030541,0.353107,0.201585,2.0,2.0,2.0
1697541436.97207,0.030477,0.35312,0.20159,2.0,2.0,2.0
1697541436.98266,0.030415,0.353134,0.201597,2.0,2.0,2.0
1697541436.991493,0.030356,0.353147,0.201604,2.0,2.0,2.0
1697541437.002241,0.030299,0.35316,0.201613,2.0,2.0,2.0
1697541437.013415,0.030245,0.353173,0.201621,2.0,2.0,2.0
1697541437.022484,0.030194,0.353187,0.201631,2.0,2.0,2.0
1697541437.032205,0.030145,0.3532,0.20164,2.0,2.0,2.0
1697541437.04243,0.030099,0.353213,0.20165,2.0,2.0,2.0
1697541437.052335,0.030055,0.353226,0.201661,2.0,2.0,2.0
1697541437.062027,0.030014,0.35324,0.201671,2.0,2.0,2.0
1697541437.073167,0.029975,0.353253,0.201682,2.0,2.0,2.0
1697541437.082398,0.029939,0.353266,0.201693,2.0,2.0,2.0
1697541437.092236,0.029906,0.35328,0.201704,2.0,2.0,2.0
1697541437.103846,0.029875,0.353293,0.201715,2.0,2.0,2.0
1697541437.11181,0.029847,0.353307,0.201725,2.0,2.0,2.0
1697541437.122215,0.029821,0.35332,0.201736,2.0,2.0,2.0
1697541437.132682,0.029798,0.353333,0.201747,2.0,2.0,2.0
1697541437.142117,0.029777,0.353346,0.201758,2.0,2.0,2.0
1697541437.151564,0.029758,0.35336,0.201768,2.0,2.0,2.0
1697541437.162297,0.029742,0.353373,0.201779,2.0,2.0,2.0
1697541437.171896,0.029727,0.353386,0.201789,2.0,2.0,2.0
1697541437.181962,0.029715,0.353399,0.201798,2.0,2.0,2.0
1697541437.192373,0.029705,0.353412,0.201808,2.0,2.0,2.0
1697541437.202183,0.029697,0.353424,0.201818,2.0,2.0,2.0
1697541437.211974,0.029691,0.353437,0.201827,2.0,2.0,2.0
1697541437.222206,0.029686,0.353449,0.201836,2.0,2.0,2.0
1697541437.231871,0.029683,0.353461,0.201845,2.0,2.0,2.0
1697541437.242016,0.029682,0.353473,0.201854,2.0,2.0,2.0
1697541437.251691,0.029683,0.353485,0.201862,2.0,2.0,2.0
1697541437.261893,0.029685,0.353497,0.201871,2.0,2.0,2.0
1697541437.272161,0.029688,0.353509,0.201879,2.0,2.0,2.0
1697541437.282496,0.029693,0.35352,0.201887,2.0,2.0,2.0
1697541437.292483,0.029699,0.353532,0.201895,2.0,2.0,2.0
1697541437.302258,0.029707,0.353543,0.201903,2.0,2.0,2.0
1697541437.311843,0.029715,0.353555,0.20191,2.0,2.0,2.0
1697541437.322218,0.029725,0.353566,0.201917,2.0,2.0,2.0
1697541437.331783,0.029736,0.353577,0.201925,2.0,2.0,2.0
1697541437.341943,0.029748,0.353588,0.201932,2.0,2.0,2.0
1697541437.35135,0.029761,0.353598,0.201939,2.0,2.0,2.0
1697541437.361857,0.029775,0.353609,0.201946,2.0,2.0,2.0
1697541437.371896,0.029789,0.35362,0.201952,2.0,2.0,2.0
1697541437.382822,0.029805,0.35363,0.201959,2.0,2.0,2.0
