time,1_x,1_y,1_z,control_pressure_0,control_pressure_1,control_pressure_2
1697537253.311932,0.033351,0.353,0.202629,2.0,2.0,2.0
1697537253.322087,0.033351,0.353,0.202629,2.0,2.0,2.0
1697537253.332982,0.033351,0.352999,0.202629,2.0,2.0,2.0
1697537253.34255,0.033351,0.353,0.202629,2.0,2.0,2.0
1697537253.352638,0.03335,0.353,0.202629,2.0,2.0,2.0
1697537253.36249,0.03335,0.353,0.202628,2.0,2.0,2.0
1697537253.372459,0.03335,0.353,0.202628,2.0,2.0,2.0
1697537253.382155,0.033349,0.353,0.202627,2.0,2.0,2.0
1697537253.391839,0.033348,0.353,0.202626,2.0,2.0,2.0
1697537253.402468,0.033346,0.353,0.202624,2.0,2.0,2.0
1697537253.412324,0.033343,0.353001,0.202623,2.0,2.0,2.0
1697537253.422128,0.033339,0.353001,0.20262,2.0,2.0,2.0
1697537253.432032,0.033334,0.353001,0.202616,2.0,2.0,2.0
1697537253.442408,0.033328,0.353002,0.202611,2.0,2.0,2.0
1697537253.452182,0.03332,0.353002,0.202605,2.0,2.0,2.0
1697537253.462358,0.03331,0.353002,0.202598,2.0,2.0,2.0
1697537253.472182,0.033299,0.353003,0.202589,2.0,2.0,2.0
1697537253.482833,0.033286,0.353004,0.202578,2.0,2.0,2.0
1697537253.492288,0.033271,0.353005,0.202566,2.0,2.0,2.0
1697537253.502023,0.033254,0.353006,0.202552,2.0,2.0,2.0
1697537253.512641,0.033235,0.353007,0.202535,2.0,2.0,2.0
1697537253.522035,0.033215,0.353009,0.202516,2.0,2.0,2.0
1697537253.531886,0.033193,0.353011,0.202495,2.0,2.0,2.0
1697537253.54225,0.03317,0.353013,0.202472,2.0,2.0,2.0
1697537253.552179,0.033145,0.353015,0.202446,2.0,2.0,2.0
1697537253.562242,0.033119,0.353017,0.202418,2.0,2.0,2.0
1697537253.572451,0.033092,0.35302,0.202387,2.0,2.0,2.0
1697537253.582775,0.033064,0.353023,0.202354,2.0,2.0,2.0
1697537253.592114,0.033036,0.353026,0.202318,2.0,2.0,2.0
1697537253.602081,0.033007,0.353029,0.202279,2.0,2.0,2.0
