time,1_x,1_y,1_z,control_pressure_0,control_pressure_1,control_pressure_2
1697538827.513015,0.029801,0.353289,0.200913,2.0,2.0,2.0
1697538827.524783,0.02973,0.353303,0.200909,2.0,2.0,2.0
1697538827.533463,0.029663,0.353319,0.200907,2.0,2.0,2.0
1697538827.54331,0.029599,0.353334,0.200907,2.0,2.0,2.0
1697538827.553621,0.029539,0.353348,0.200907,2.0,2.0,2.0
1697538827.563779,0.029482,0.353363,0.200909,2.0,2.0,2.0
1697538827.572876,0.029428,0.353378,0.200912,2.0,2.0,2.0
1697538827.58463,0.029378,0.353392,0.200915,2.0,2.0,2.0
1697538827.593193,0.029331,0.353407,0.200919,2.0,2.0,2.0
1697538827.603703,0.029287,0.353421,0.200925,2.0,2.0,2.0
1697538827.613549,0.029247,0.353436,0.200931,2.0,2.0,2.0
1697538827.62371,0.02921,0.35345,0.200938,2.0,2.0,2.0
1697538827.633766,0.029177,0.353464,0.200945,2.0,2.0,2.0
1697538827.643809,0.029146,0.353478,0.200952,2.0,2.0,2.0
1697538827.652906,0.029119,0.353492,0.20096,2.0,2.0,2.0
1697538827.663239,0.029094,0.353506,0.200969,2.0,2.0,2.0
1697538827.673099,0.029073,0.353519,0.200978,2.0,2.0,2.0
1697538827.683262,0.029054,0.353533,0.200988,2.0,2.0,2.0
1697538827.692771,0.029037,0.353546,0.200999,2.0,2.0,2.0
1697538827.702514,0.029024,0.353559,0.201009,2.0,2.0,2.0
1697538827.713237,0.029013,0.353572,0.20102,2.0,2.0,2.0
1697538827.723667,0.029005,0.353584,0.201031,2.0,2.0,2.0
1697538827.733277,0.028999,0.353597,0.201042,2.0,2.0,2.0
1697538827.743613,0.028996,0.353609,0.201053,2.0,2.0,2.0
1697538827.753636,0.028994,0.353621,0.201065,2.0,2.0,2.0
1697538827.763345,0.028995,0.353633,0.201077,2.0,2.0,2.0
1697538827.773813,0.028998,0.353644,0.201089,2.0,2.0,2.0
1697538827.785142,0.029003,0.353656,0.201101,2.0,2.0,2.0
1697538827.792966,0.02901,0.353667,0.201113,2.0,2.0,2.0
1697538827.802969,0.029018,0.353678,0.201126,2.0,2.0,2.0
1697538827.813666,0.029028,0.353689,0.201138,2.0,2.0,2.0
1697538827.823901,0.02904,0.3537,0.201151,2.0,2.0,2.0
1697538827.834072,0.029053,0.353711,0.201164,2.0,2.0,2.0
1697538827.843758,0.029068,0.353721,0.201177,2.0,2.0,2.0
1697538827.852907,0.029085,0.353731,0.20119,2.0,2.0,2.0
1697538827.863501,0.029103,0.353741,0.201203,2.0,2.0,2.0
1697538827.873056,0.029122,0.353751,0.201216,2.0,2.0,2.0
1697538827.882998,0.029142,0.353761,0.201229,2.0,2.0,2.0
1697538827.893074,0.029164,0.35377,0.201242,2.0,2.0,2.0
1697538827.903594,0.029187,0.35378,0.201255,2.0,2.0,2.0
1697538827.913311,0.02921,0.353789,0.201269,2.0,2.0,2.0
1697538827.923653,0.029235,0.353798,0.201282,2.0,2.0,2.0
1697538827.933173,0.029261,0.353807,0.201296,2.0,2.0,2.0
1697538827.943701,0.029287,0.353815,0.201309,2.0,2.0,2.0
1697538827.953607,0.029314,0.353824,0.201322,2.0,2.0,2.0
1697538827.96348,0.029342,0.353832,0.201335,2.0,2.0,2.0
1697538827.973706,0.029371,0.35384,0.201348,2.0,2.0,2.0
1697538827.984429,0.0294,0.353848,0.201362,2.0,2.0,2.0
1697538827.993126,0.02943,0.353856,0.201375,2.0,2.0,2.0
1697538828.004049,0.02946,0.353864,0.201388,2.0,2.0,2.0
1697538828.013283,0.029491,0.353871,0.201401,2.0,2.0,2.0
1697538828.024332,0.029522,0.353879,0.201414,2.0,2.0,2.0
1697538828.033106,0.029553,0.353886,0.201426,2.0,2.0,2.0
1697538828.044044,0.029585,0.353893,0.201439,2.0,2.0,2.0
1697538828.053919,0.029617,0.353899,0.201452,2.0,2.0,2.0
1697538828.06435,0.029649,0.353907,0.201465,2.0,2.0,2.0
1697538828.07272,0.029682,0.353913,0.201478,2.0,2.0,2.0
1697538828.082941,0.029715,0.35392,0.201491,2.0,2.0,2.0
1697538828.093147,0.029749,0.353926,0.201503,2.0,2.0,2.0
1697538828.102105,0.029782,0.353932,0.201516,2.0,2.0,2.0
1697538828.113199,0.029816,0.353938,0.201528,2.0,2.0,2.0
1697538828.123309,0.02985,0.353945,0.201541,2.0,2.0,2.0
1697538828.133131,0.029885,0.35395,0.201554,2.0,2.0,2.0
1697538828.143518,0.029919,0.353956,0.201566,2.0,2.0,2.0
1697538828.153031,0.029953,0.353962,0.201578,2.0,2.0,2.0
1697538828.163212,0.029988,0.353968,0.201591,2.0,2.0,2.0
1697538828.172972,0.030022,0.353974,0.201603,2.0,2.0,2.0
1697538828.183344,0.030057,0.353979,0.201615,2.0,2.0,2.0
1697538828.193006,0.030091,0.353985,0.201627,2.0,2.0,2.0
1697538828.204021,0.030125,0.35399,0.201639,2.0,2.0,2.0
1697538828.212965,0.03016,0.353996,0.20165,2.0,2.0,2.0
1697538828.223576,0.030194,0.354001,0.201662,2.0,2.0,2.0
1697538828.233683,0.030229,0.354007,0.201673,2.0,2.0,2.0
1697538828.243849,0.030263,0.354012,0.201685,2.0,2.0,2.0
1697538828.252886,0.030297,0.354018,0.201696,2.0,2.0,2.0
1697538828.263136,0.030331,0.354023,0.201708,2.0,2.0,2.0
1697538828.273018,0.030365,0.354029,0.201719,2.0,2.0,2.0
1697538828.283277,0.030399,0.354033,0.201731,2.0,2.0,2.0
1697538828.293122,0.030432,0.354039,0.201742,2.0,2.0,2.0
1697538828.303706,0.030466,0.354043,0.201753,2.0,2.0,2.0
1697538828.31294,0.030499,0.354048,0.201764,2.0,2.0,2.0
1697538828.323772,0.030532,0.354053,0.201775,2.0,2.0,2.0
1697538828.333577,0.030565,0.354057,0.201785,2.0,2.0,2.0
1697538828.343534,0.030598,0.354062,0.201796,2.0,2.0,2.0
1697538828.353728,0.03063,0.354067,0.201806,2.0,2.0,2.0
1697538828.363554,0.030662,0.354071,0.201816,2.0,2.0,2.0
1697538828.373536,0.030694,0.354075,0.201826,2.0,2.0,2.0
1697538828.382977,0.030725,0.354079,0.201835,2.0,2.0,2.0
1697538828.393028,0.030756,0.354084,0.201845,2.0,2.0,2.0
1697538828.403315,0.030787,0.354088,0.201855,2.0,2.0,2.0
1697538828.413098,0.030818,0.354092,0.201864,2.0,2.0,2.0
1697538828.423244,0.030849,0.354097,0.201874,2.0,2.0,2.0
1697538828.433382,0.030879,0.354101,0.201883,2.0,2.0,2.0
1697538828.443636,0.030909,0.354105,0.201891,2.0,2.0,2.0
1697538828.453289,0.030939,0.354109,0.2019,2.0,2.0,2.0
1697538828.4635,0.030969,0.354113,0.201909,2.0,2.0,2.0
1697538828.473599,0.030998,0.354118,0.201917,2.0,2.0,2.0
1697538828.483242,0.031027,0.354122,0.201926,2.0,2.0,2.0
1697538828.493099,0.031056,0.354126,0.201934,2.0,2.0,2.0
1697538828.503003,0.031085,0.35413,0.201943,2.0,2.0,2.0
1697538828.513835,0.031112,0.354134,0.201951,2.0,2.0,2.0
1697538828.524083,0.03114,0.354138,0.201958,2.0,2.0,2.0
1697538828.533476,0.031168,0.354142,0.201966,2.0,2.0,2.0
1697538828.544113,0.031195,0.354146,0.201973,2.0,2.0,2.0
1697538828.553447,0.031222,0.354149,0.201981,2.0,2.0,2.0
1697538828.564306,0.031249,0.354153,0.201988,2.0,2.0,2.0
1697538828.573307,0.031275,0.354157,0.201995,2.0,2.0,2.0
1697538828.583399,0.031302,0.35416,0.202002,2.0,2.0,2.0
1697538828.593057,0.031327,0.354164,0.202009,2.0,2.0,2.0
1697538828.603468,0.031352,0.354167,0.202015,2.0,2.0,2.0
1697538828.613371,0.031377,0.354171,0.202021,2.0,2.0,2.0
1697538828.623471,0.031401,0.354174,0.202027,2.0,2.0,2.0
1697538828.633141,0.031425,0.354177,0.202034,2.0,2.0,2.0
1697538828.642708,0.031449,0.354181,0.20204,2.0,2.0,2.0
1697538828.653188,0.031472,0.354184,0.202046,2.0,2.0,2.0
1697538828.663662,0.031495,0.354187,0.202052,2.0,2.0,2.0
1697538828.674107,0.031517,0.35419,0.202057,2.0,2.0,2.0
1697538828.682613,0.031539,0.354193,0.202062,2.0,2.0,2.0
1697538828.693084,0.031561,0.354196,0.202067,2.0,2.0,2.0
1697538828.70363,0.031582,0.354199,0.202073,2.0,2.0,2.0
1697538828.713517,0.031603,0.354201,0.202078,2.0,2.0,2.0
1697538828.723704,0.031623,0.354204,0.202083,2.0,2.0,2.0
1697538828.733031,0.031643,0.354207,0.202087,2.0,2.0,2.0
1697538828.742596,0.031663,0.35421,0.202092,2.0,2.0,2.0
1697538828.753468,0.031682,0.354212,0.202096,2.0,2.0,2.0
1697538828.763259,0.031701,0.354215,0.2021,2.0,2.0,2.0
1697538828.77359,0.03172,0.354218,0.202104,2.0,2.0,2.0
1697538828.783227,0.031738,0.35422,0.202108,2.0,2.0,2.0
1697538828.793125,0.031756,0.354222,0.202112,2.0,2.0,2.0
1697538828.803534,0.031774,0.354225,0.202116,2.0,2.0,2.0
1697538828.814423,0.031791,0.354227,0.20212,2.0,2.0,2.0
1697538828.822522,0.031808,0.35423,0.202123,2.0,2.0,2.0
1697538828.832949,0.031825,0.354232,0.202126,2.0,2.0,2.0
1697538828.843886,0.031841,0.354235,0.202129,2.0,2.0,2.0
1697538828.85318,0.031857,0.354237,0.202132,2.0,2.0,2.0
1697538828.864383,0.031873,0.354239,0.202134,2.0,2.0,2.0
1697538828.873266,0.031888,0.354241,0.202137,2.0,2.0,2.0
1697538828.883524,0.031904,0.354244,0.20214,2.0,2.0,2.0
1697538828.893597,0.031919,0.354246,0.202142,2.0,2.0,2.0
1697538828.903684,0.031933,0.354248,0.202144,2.0,2.0,2.0
1697538828.913227,0.031948,0.35425,0.202146,2.0,2.0,2.0
1697538828.923808,0.031961,0.354252,0.202148,2.0,2.0,2.0
1697538828.933255,0.031975,0.354254,0.202149,2.0,2.0,2.0
1697538828.943438,0.031989,0.354256,0.202151,2.0,2.0,2.0
1697538828.953802,0.032002,0.354259,0.202153,2.0,2.0,2.0
1697538828.963367,0.032015,0.354261,0.202154,2.0,2.0,2.0
1697538828.973324,0.032028,0.354263,0.202156,2.0,2.0,2.0
1697538828.983332,0.03204,0.354265,0.202158,2.0,2.0,2.0
1697538828.993598,0.032052,0.354267,0.20216,2.0,2.0,2.0
1697538829.003336,0.032064,0.354269,0.202161,2.0,2.0,2.0
