time,1_x,1_y,1_z,control_pressure_0,control_pressure_1,control_pressure_2
1697543763.337831,0.034429,0.353551,0.203286,2.0,2.0,2.0
1697543763.347439,0.034422,0.353567,0.203302,2.0,2.0,2.0
1697543763.357549,0.034416,0.353582,0.203316,2.0,2.0,2.0
1697543763.367717,0.034409,0.353597,0.20333,2.0,2.0,2.0
1697543763.377661,0.034403,0.353612,0.203343,2.0,2.0,2.0
1697543763.387499,0.034397,0.353627,0.203354,2.0,2.0,2.0
1697543763.397552,0.034392,0.353641,0.203365,2.0,2.0,2.0
1697543763.407532,0.034386,0.353656,0.203375,2.0,2.0,2.0
1697543763.417171,0.03438,0.35367,0.203384,2.0,2.0,2.0
1697543763.427538,0.034375,0.353684,0.203392,2.0,2.0,2.0
1697543763.437566,0.034369,0.353697,0.203399,2.0,2.0,2.0
1697543763.447367,0.034364,0.35371,0.203405,2.0,2.0,2.0
1697543763.457475,0.034359,0.353723,0.20341,2.0,2.0,2.0
1697543763.467437,0.034354,0.353736,0.203414,2.0,2.0,2.0
1697543763.477456,0.034349,0.353749,0.203418,2.0,2.0,2.0
1697543763.48703,0.034344,0.353762,0.20342,2.0,2.0,2.0
1697543763.497223,0.034339,0.353774,0.203422,2.0,2.0,2.0
1697543763.507524,0.034334,0.353786,0.203424,2.0,2.0,2.0
1697543763.517461,0.034329,0.353799,0.203424,2.0,2.0,2.0
1697543763.527615,0.034325,0.35381,0.203424,2.0,2.0,2.0
1697543763.537318,0.03432,0.353822,0.203424,2.0,2.0,2.0
1697543763.547584,0.034316,0.353834,0.203423,2.0,2.0,2.0
1697543763.557489,0.034311,0.353845,0.203421,2.0,2.0,2.0
1697543763.567184,0.034307,0.353856,0.203419,2.0,2.0,2.0
1697543763.577133,0.034303,0.353866,0.203416,2.0,2.0,2.0
1697543763.586989,0.034298,0.353877,0.203412,2.0,2.0,2.0
1697543763.59722,0.034294,0.353887,0.203408,2.0,2.0,2.0
1697543763.607841,0.03429,0.353898,0.203404,2.0,2.0,2.0
1697543763.617213,0.034285,0.353908,0.2034,2.0,2.0,2.0
1697543763.627444,0.034281,0.353918,0.203395,2.0,2.0,2.0
1697543763.637906,0.034277,0.353927,0.203389,2.0,2.0,2.0
1697543763.647551,0.034274,0.353937,0.203384,2.0,2.0,2.0
1697543763.657695,0.03427,0.353946,0.203377,2.0,2.0,2.0
1697543763.667465,0.034266,0.353956,0.203371,2.0,2.0,2.0
1697543763.677653,0.034262,0.353965,0.203364,2.0,2.0,2.0
1697543763.687339,0.034258,0.353974,0.203357,2.0,2.0,2.0
1697543763.697371,0.034255,0.353982,0.20335,2.0,2.0,2.0
1697543763.708021,0.034251,0.353991,0.203342,2.0,2.0,2.0
1697543763.717343,0.034248,0.354,0.203334,2.0,2.0,2.0
1697543763.727288,0.034244,0.354008,0.203326,2.0,2.0,2.0
1697543763.7376,0.034241,0.354016,0.203317,2.0,2.0,2.0
1697543763.747695,0.034238,0.354024,0.203309,2.0,2.0,2.0
1697543763.756941,0.034234,0.354032,0.2033,2.0,2.0,2.0
1697543763.76779,0.034231,0.354041,0.203291,2.0,2.0,2.0
1697543763.777451,0.034228,0.354049,0.203281,2.0,2.0,2.0
1697543763.788055,0.034225,0.354056,0.203271,2.0,2.0,2.0
1697543763.797124,0.034222,0.354063,0.203262,2.0,2.0,2.0
1697543763.807414,0.034219,0.354071,0.203252,2.0,2.0,2.0
1697543763.81701,0.034215,0.354078,0.203242,2.0,2.0,2.0
1697543763.82723,0.034212,0.354085,0.203232,2.0,2.0,2.0
1697543763.836922,0.034209,0.354092,0.203222,2.0,2.0,2.0
1697543763.847366,0.034206,0.354099,0.203211,2.0,2.0,2.0
1697543763.857333,0.034203,0.354106,0.2032,2.0,2.0,2.0
1697543763.867361,0.034199,0.354112,0.20319,2.0,2.0,2.0
1697543763.877715,0.034196,0.354119,0.203179,2.0,2.0,2.0
1697543763.887369,0.034193,0.354125,0.203169,2.0,2.0,2.0
1697543763.897269,0.03419,0.354131,0.203158,2.0,2.0,2.0
1697543763.907469,0.034186,0.354137,0.203147,2.0,2.0,2.0
1697543763.917231,0.034183,0.354143,0.203136,2.0,2.0,2.0
1697543763.927669,0.03418,0.354149,0.203125,2.0,2.0,2.0
1697543763.937252,0.034177,0.354155,0.203114,2.0,2.0,2.0
1697543763.947428,0.034174,0.35416,0.203102,2.0,2.0,2.0
1697543763.957314,0.034171,0.354166,0.203091,2.0,2.0,2.0
1697543763.96747,0.034168,0.354172,0.203079,2.0,2.0,2.0
