time,1_x,1_y,1_z,control_pressure_0,control_pressure_1,control_pressure_2
1697542337.994841,0.029465,0.353357,0.201016,2.0,2.0,2.0
1697542338.003371,0.029408,0.353373,0.201011,2.0,2.0,2.0
1697542338.011371,0.029353,0.353389,0.201007,2.0,2.0,2.0
1697542338.023387,0.029303,0.353405,0.201004,2.0,2.0,2.0
1697542338.031528,0.029255,0.35342,0.201002,2.0,2.0,2.0
1697542338.043822,0.029211,0.353436,0.201001,2.0,2.0,2.0
1697542338.051213,0.02917,0.353451,0.201,2.0,2.0,2.0
1697542338.061356,0.029133,0.353467,0.201,2.0,2.0,2.0
1697542338.072411,0.029098,0.353482,0.201001,2.0,2.0,2.0
1697542338.08113,0.029066,0.353497,0.201002,2.0,2.0,2.0
1697542338.091516,0.029038,0.353512,0.201004,2.0,2.0,2.0
1697542338.100771,0.029012,0.353527,0.201006,2.0,2.0,2.0
1697542338.110543,0.02899,0.353541,0.201008,2.0,2.0,2.0
1697542338.120811,0.02897,0.353555,0.201011,2.0,2.0,2.0
1697542338.130719,0.028952,0.353569,0.201014,2.0,2.0,2.0
1697542338.14117,0.028938,0.353583,0.201018,2.0,2.0,2.0
1697542338.150878,0.028925,0.353597,0.201022,2.0,2.0,2.0
1697542338.161054,0.028915,0.35361,0.201027,2.0,2.0,2.0
1697542338.170849,0.028907,0.353624,0.201032,2.0,2.0,2.0
1697542338.181164,0.028901,0.353637,0.201037,2.0,2.0,2.0
1697542338.191367,0.028898,0.35365,0.201043,2.0,2.0,2.0
1697542338.20118,0.028897,0.353663,0.20105,2.0,2.0,2.0
1697542338.210772,0.028898,0.353675,0.201056,2.0,2.0,2.0
1697542338.221278,0.0289,0.353687,0.201063,2.0,2.0,2.0
1697542338.231369,0.028904,0.3537,0.201069,2.0,2.0,2.0
1697542338.241277,0.02891,0.353712,0.201076,2.0,2.0,2.0
1697542338.251357,0.028918,0.353723,0.201083,2.0,2.0,2.0
1697542338.261792,0.028927,0.353735,0.201091,2.0,2.0,2.0
1697542338.271128,0.028938,0.353746,0.201098,2.0,2.0,2.0
1697542338.281155,0.028951,0.353757,0.201106,2.0,2.0,2.0
1697542338.290685,0.028964,0.353768,0.201115,2.0,2.0,2.0
1697542338.301512,0.028979,0.353779,0.201124,2.0,2.0,2.0
1697542338.311502,0.028995,0.353789,0.201133,2.0,2.0,2.0
1697542338.322152,0.029013,0.353799,0.201142,2.0,2.0,2.0
1697542338.331377,0.029031,0.353809,0.201151,2.0,2.0,2.0
