time,1_x,1_y,1_z,control_pressure_0,control_pressure_1,control_pressure_2
1697539614.656829,0.032952,0.352872,0.201338,2.0,2.0,2.0
1697539614.665774,0.032952,0.352872,0.201337,2.0,2.0,2.0
1697539614.676174,0.032952,0.352872,0.201337,2.0,2.0,2.0
1697539614.686617,0.032952,0.352872,0.201338,2.0,2.0,2.0
1697539614.696437,0.032952,0.352872,0.201338,2.0,2.0,2.0
1697539614.705901,0.032952,0.352872,0.201337,2.0,2.0,2.0
1697539614.715857,0.032952,0.352872,0.201337,2.0,2.0,2.0
1697539614.725843,0.032952,0.352872,0.201337,2.0,2.0,2.0
1697539614.736166,0.032951,0.352872,0.201337,2.0,2.0,2.0
1697539614.746199,0.03295,0.352872,0.201336,2.0,2.0,2.0
1697539614.756351,0.032949,0.352872,0.201336,2.0,2.0,2.0
1697539614.766413,0.032947,0.352873,0.201334,2.0,2.0,2.0
1697539614.776114,0.032945,0.352873,0.201332,2.0,2.0,2.0
1697539614.785849,0.032943,0.352874,0.20133,2.0,2.0,2.0
1697539614.795984,0.032939,0.352874,0.201326,2.0,2.0,2.0
1697539614.806352,0.032936,0.352874,0.201321,2.0,2.0,2.0
1697539614.816256,0.032931,0.352875,0.201315,2.0,2.0,2.0
1697539614.82573,0.032925,0.352876,0.201307,2.0,2.0,2.0
1697539614.835992,0.03292,0.352877,0.201298,2.0,2.0,2.0
1697539614.845988,0.032913,0.352879,0.201287,2.0,2.0,2.0
1697539614.856212,0.032905,0.352881,0.201274,2.0,2.0,2.0
1697539614.865689,0.032897,0.352882,0.201258,2.0,2.0,2.0
1697539614.875746,0.032888,0.352885,0.201241,2.0,2.0,2.0
1697539614.885853,0.032878,0.352887,0.20122,2.0,2.0,2.0
1697539614.895724,0.032868,0.35289,0.201198,2.0,2.0,2.0
1697539614.906053,0.032858,0.352893,0.201172,2.0,2.0,2.0
1697539614.916134,0.032848,0.352896,0.201144,2.0,2.0,2.0
1697539614.925165,0.032838,0.352899,0.201113,2.0,2.0,2.0
1697539614.935902,0.032828,0.352903,0.201081,2.0,2.0,2.0
1697539614.945786,0.032818,0.352907,0.201045,2.0,2.0,2.0
1697539614.956257,0.032808,0.352911,0.201008,2.0,2.0,2.0
1697539614.966421,0.032798,0.352915,0.200968,2.0,2.0,2.0
1697539614.975763,0.032788,0.35292,0.200927,2.0,2.0,2.0
1697539614.986424,0.032778,0.352925,0.200884,2.0,2.0,2.0
1697539614.996171,0.032768,0.352931,0.20084,2.0,2.0,2.0
1697539615.006715,0.03276,0.352938,0.200794,2.0,2.0,2.0
1697539615.017144,0.032751,0.352944,0.200748,2.0,2.0,2.0
1697539615.025604,0.032743,0.352951,0.2007,2.0,2.0,2.0
1697539615.03611,0.032735,0.352958,0.200653,2.0,2.0,2.0
1697539615.04604,0.032727,0.352965,0.200605,2.0,2.0,2.0
1697539615.056192,0.03272,0.352973,0.200558,2.0,2.0,2.0
1697539615.066268,0.032713,0.352981,0.200511,2.0,2.0,2.0
1697539615.075977,0.032706,0.352989,0.200464,2.0,2.0,2.0
1697539615.08604,0.0327,0.352998,0.200418,2.0,2.0,2.0
1697539615.096354,0.032694,0.353007,0.200373,2.0,2.0,2.0
1697539615.106406,0.032688,0.353017,0.20033,2.0,2.0,2.0
1697539615.116063,0.032683,0.353026,0.200287,2.0,2.0,2.0
1697539615.125953,0.032678,0.353036,0.200245,2.0,2.0,2.0
1697539615.13604,0.032673,0.353046,0.200206,2.0,2.0,2.0
1697539615.14577,0.032669,0.353056,0.200167,2.0,2.0,2.0
1697539615.156254,0.032665,0.353066,0.20013,2.0,2.0,2.0
1697539615.166709,0.032661,0.353077,0.200094,2.0,2.0,2.0
1697539615.176206,0.032657,0.353088,0.20006,2.0,2.0,2.0
1697539615.18664,0.032654,0.353099,0.200027,2.0,2.0,2.0
1697539615.195976,0.03265,0.35311,0.199996,2.0,2.0,2.0
1697539615.206325,0.032647,0.353121,0.199967,2.0,2.0,2.0
1697539615.215775,0.032644,0.353133,0.19994,2.0,2.0,2.0
1697539615.225833,0.032641,0.353144,0.199915,2.0,2.0,2.0
1697539615.235738,0.032638,0.353156,0.199891,2.0,2.0,2.0
1697539615.249193,0.032635,0.353167,0.199869,2.0,2.0,2.0
1697539615.256001,0.032633,0.35318,0.199848,2.0,2.0,2.0
1697539615.265409,0.03263,0.353192,0.19983,2.0,2.0,2.0
1697539615.275829,0.032628,0.353204,0.199812,2.0,2.0,2.0
1697539615.286057,0.032625,0.353216,0.199797,2.0,2.0,2.0
1697539615.296033,0.032623,0.353228,0.199783,2.0,2.0,2.0
1697539615.3061,0.032621,0.35324,0.199771,2.0,2.0,2.0
1697539615.316039,0.032619,0.353252,0.199761,2.0,2.0,2.0
1697539615.325392,0.032617,0.353264,0.199752,2.0,2.0,2.0
1697539615.336452,0.032616,0.353276,0.199744,2.0,2.0,2.0
1697539615.345492,0.032614,0.353288,0.199738,2.0,2.0,2.0
1697539615.355717,0.032612,0.3533,0.199733,2.0,2.0,2.0
1697539615.365503,0.032611,0.353312,0.19973,2.0,2.0,2.0
1697539615.376374,0.03261,0.353323,0.199728,2.0,2.0,2.0
1697539615.385876,0.032609,0.353335,0.199727,2.0,2.0,2.0
1697539615.395958,0.032608,0.353347,0.199728,2.0,2.0,2.0
1697539615.405628,0.032607,0.353358,0.199729,2.0,2.0,2.0
1697539615.416498,0.032606,0.35337,0.199732,2.0,2.0,2.0
1697539615.426397,0.032605,0.353382,0.199735,2.0,2.0,2.0
1697539615.436598,0.032604,0.353393,0.19974,2.0,2.0,2.0
1697539615.446693,0.032602,0.353404,0.199746,2.0,2.0,2.0
1697539615.455616,0.032601,0.353416,0.199752,2.0,2.0,2.0
1697539615.465796,0.0326,0.353427,0.19976,2.0,2.0,2.0
1697539615.475806,0.032599,0.353438,0.199768,2.0,2.0,2.0
1697539615.485486,0.032598,0.353449,0.199777,2.0,2.0,2.0
