time,1_x,1_y,1_z,control_pressure_0,control_pressure_1,control_pressure_2
1697540788.739938,0.03361,0.352776,0.202146,2.0,2.0,2.0
1697540788.750821,0.033562,0.35278,0.202115,2.0,2.0,2.0
1697540788.760089,0.033511,0.352783,0.202084,2.0,2.0,2.0
1697540788.770164,0.033458,0.352787,0.202053,2.0,2.0,2.0
1697540788.78023,0.033402,0.352791,0.202023,2.0,2.0,2.0
1697540788.790166,0.033344,0.352795,0.201993,2.0,2.0,2.0
1697540788.800454,0.033284,0.3528,0.201964,2.0,2.0,2.0
1697540788.809827,0.033223,0.352805,0.201935,2.0,2.0,2.0
1697540788.820273,0.033159,0.35281,0.201908,2.0,2.0,2.0
1697540788.830082,0.033094,0.352816,0.201881,2.0,2.0,2.0
1697540788.840497,0.033026,0.352822,0.201857,2.0,2.0,2.0
1697540788.850016,0.032958,0.352828,0.201834,2.0,2.0,2.0
1697540788.859895,0.032889,0.352834,0.201812,2.0,2.0,2.0
1697540788.870664,0.032819,0.352841,0.201791,2.0,2.0,2.0
1697540788.880782,0.032748,0.352848,0.201772,2.0,2.0,2.0
1697540788.889936,0.032677,0.352856,0.201755,2.0,2.0,2.0
1697540788.900169,0.032605,0.352864,0.20174,2.0,2.0,2.0
1697540788.910568,0.032533,0.352872,0.201726,2.0,2.0,2.0
1697540788.920148,0.03246,0.352881,0.201713,2.0,2.0,2.0
1697540788.930459,0.032388,0.35289,0.201702,2.0,2.0,2.0
1697540788.940191,0.032317,0.3529,0.201692,2.0,2.0,2.0
1697540788.950185,0.032246,0.352909,0.201684,2.0,2.0,2.0
1697540788.960308,0.032175,0.35292,0.201677,2.0,2.0,2.0
1697540788.970183,0.032106,0.35293,0.201672,2.0,2.0,2.0
1697540788.980474,0.032038,0.35294,0.201667,2.0,2.0,2.0
1697540788.990049,0.031972,0.352951,0.201664,2.0,2.0,2.0
1697540788.999875,0.031907,0.352962,0.201661,2.0,2.0,2.0
1697540789.010425,0.031843,0.352973,0.20166,2.0,2.0,2.0
1697540789.019849,0.031782,0.352984,0.201659,2.0,2.0,2.0
1697540789.030251,0.031723,0.352995,0.201659,2.0,2.0,2.0
1697540789.040449,0.031665,0.353007,0.20166,2.0,2.0,2.0
1697540789.049592,0.03161,0.353018,0.201661,2.0,2.0,2.0
1697540789.059955,0.031558,0.35303,0.201663,2.0,2.0,2.0
1697540789.070031,0.031507,0.353042,0.201665,2.0,2.0,2.0
1697540789.079884,0.03146,0.353054,0.201668,2.0,2.0,2.0
1697540789.090087,0.031414,0.353066,0.201671,2.0,2.0,2.0
1697540789.099854,0.031371,0.353079,0.201675,2.0,2.0,2.0
1697540789.109931,0.031331,0.353091,0.201679,2.0,2.0,2.0
1697540789.119889,0.031293,0.353104,0.201683,2.0,2.0,2.0
1697540789.129905,0.031257,0.353116,0.201687,2.0,2.0,2.0
1697540789.139693,0.031223,0.353129,0.201691,2.0,2.0,2.0
1697540789.150167,0.031192,0.353142,0.201695,2.0,2.0,2.0
1697540789.160098,0.031163,0.353155,0.2017,2.0,2.0,2.0
1697540789.170856,0.031136,0.353168,0.201705,2.0,2.0,2.0
1697540789.179443,0.031111,0.353181,0.20171,2.0,2.0,2.0
1697540789.190279,0.031088,0.353194,0.201715,2.0,2.0,2.0
1697540789.199775,0.031068,0.353207,0.20172,2.0,2.0,2.0
1697540789.210448,0.031049,0.35322,0.201725,2.0,2.0,2.0
1697540789.219703,0.031032,0.353233,0.201731,2.0,2.0,2.0
1697540789.230573,0.031017,0.353246,0.201736,2.0,2.0,2.0
1697540789.240117,0.031004,0.353259,0.201742,2.0,2.0,2.0
1697540789.250041,0.030992,0.353272,0.201747,2.0,2.0,2.0
1697540789.26386,0.030982,0.353285,0.201753,2.0,2.0,2.0
1697540789.269832,0.030974,0.353298,0.201759,2.0,2.0,2.0
1697540789.281013,0.030967,0.353312,0.201765,2.0,2.0,2.0
1697540789.290356,0.030961,0.353324,0.20177,2.0,2.0,2.0
1697540789.30055,0.030957,0.353337,0.201776,2.0,2.0,2.0
1697540789.309893,0.030954,0.35335,0.201782,2.0,2.0,2.0
1697540789.319661,0.030952,0.353363,0.201788,2.0,2.0,2.0
1697540789.329987,0.030951,0.353375,0.201793,2.0,2.0,2.0
1697540789.340139,0.030952,0.353388,0.2018,2.0,2.0,2.0
1697540789.349974,0.030953,0.3534,0.201805,2.0,2.0,2.0
1697540789.360178,0.030956,0.353413,0.201811,2.0,2.0,2.0
1697540789.370157,0.03096,0.353425,0.201817,2.0,2.0,2.0
1697540789.380503,0.030964,0.353437,0.201822,2.0,2.0,2.0
1697540789.390622,0.03097,0.353449,0.201828,2.0,2.0,2.0
1697540789.400539,0.030976,0.353461,0.201834,2.0,2.0,2.0
1697540789.409951,0.030983,0.353473,0.20184,2.0,2.0,2.0
1697540789.419767,0.03099,0.353485,0.201845,2.0,2.0,2.0
1697540789.430128,0.030999,0.353496,0.201851,2.0,2.0,2.0
1697540789.440332,0.031007,0.353508,0.201857,2.0,2.0,2.0
1697540789.450005,0.031017,0.353519,0.201863,2.0,2.0,2.0
1697540789.460177,0.031027,0.35353,0.201868,2.0,2.0,2.0
1697540789.470303,0.031037,0.353542,0.201874,2.0,2.0,2.0
1697540789.480108,0.031048,0.353553,0.20188,2.0,2.0,2.0
1697540789.490198,0.031059,0.353563,0.201885,2.0,2.0,2.0
1697540789.499744,0.03107,0.353574,0.201891,2.0,2.0,2.0
1697540789.510102,0.031082,0.353585,0.201896,2.0,2.0,2.0
1697540789.520517,0.031095,0.353595,0.201902,2.0,2.0,2.0
1697540789.530265,0.031108,0.353605,0.201907,2.0,2.0,2.0
1697540789.539491,0.031121,0.353615,0.201913,2.0,2.0,2.0
1697540789.550127,0.031134,0.353625,0.201918,2.0,2.0,2.0
1697540789.560281,0.031148,0.353635,0.201923,2.0,2.0,2.0
1697540789.569976,0.031163,0.353645,0.201929,2.0,2.0,2.0
1697540789.580272,0.031177,0.353655,0.201934,2.0,2.0,2.0
1697540789.589784,0.031192,0.353665,0.201939,2.0,2.0,2.0
1697540789.599996,0.031208,0.353674,0.201944,2.0,2.0,2.0
1697540789.609832,0.031223,0.353684,0.201949,2.0,2.0,2.0
1697540789.620125,0.031239,0.353693,0.201954,2.0,2.0,2.0
1697540789.629932,0.031255,0.353702,0.201959,2.0,2.0,2.0
1697540789.640023,0.031271,0.353712,0.201964,2.0,2.0,2.0
